# Agências do Banco Regional de Fomento S.A. (BRF)
# Fonte: Banco Central do Brasil — API Informes_Agencias (ODbL)
# URL: https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1
# Atualizado em: 05/04/2026 | Total: 300 agências
# CNPJ BRF: 07.237.373/0001-20 | Código COMPE: 004
#
codigo,nome,municipio,uf,cep,endereco,bairro,ddd,telefone
139,Balsas,Balsas,MA,65800-000,Rua Benedito Leite,Centro,99,35427050
107,Barra Do Corda,Barra Do Corda,MA,65950-000,Rua Cel. Jose Nava,Centro,99,34273450
295,Barreirinhas,Barreirinhas,MA,65590-000,"R Cazuza Ramos, Sn",Centro,98,33946200
93,Caxias,Caxias,MA,65600-270,Rua São Benedito,Centro,99,35220250
108,Chapadinha,Chapadinha,MA,65500-000,Av. Jose Caetano,Centro,98,34718400
127,Codo,Codo,MA,65400-000,Rua Professor Fernando De Carvalho,Centro,99,36693100
290,Colinas,Colinas,MA,65690-000,Av Dr Osano Brandao,Centro,99,35522500
291,Governador Nunes Freire,Governador Nunes Freire,MA,65284-000,R 7 De Setembro,Centro,98,33713500
241,Grajaú,Grajau,MA,65940-000,R Senador Paulo Do Norte,Centro,99,35329157
81,Imperatriz,Imperatriz,MA,65903-280,Av. Getulio Vargas,Centro,99,35294600
312,Itapecuru Mirim,Itapecuru Mirim,MA,65485-000,Praça Cônego Albino Campos,Centro,77,3261422
278,Paco Do Lumiar,Paco Do Lumiar,MA,65130-000,"Av. 13,  Qd 122",Maiobão,98,32745287
128,Pedreiras,Pedreiras,MA,65725-000,Av. Rio Branco,Centro,99,36421115
195,Pinheiro,Pinheiro,MA,65200-000,Praça José Sarney,Centro,98,33812513
216,Porto Franco - Ma,Porto Franco,MA,65970-000,"Rua Joaquim Pereira, S/Nº",Centro,99,35712045
102,Presidente Dutra,Presidente Dutra,MA,65760-000,"Trav. Cel. Antonio Macedo, 12",Centro,99,36631331
103,Santa Ines,Santa Ines,MA,65300-000,"Rua Do Comercio, 187",Centro,98,36531951
242,Santa Luzia,Santa Luzia,MA,65390-000,Av Newton Belo,Centro,98,36214230
59,Sao Luis Areinha,Sao Luis,MA,65030-015,Av. Senador Vitorino,Areinha,98,32189600
193,Sao Luis Calhau,Sao Luis,MA,65071-380,Av.Dos Holandeses,Calhau,98,32354236
253,São José De Ribamar - Ma,Sao Jose De Ribamar,MA,65110-000,Av Gonçalves Dias,Centro,98,32243472
311,São João Dos Patos,Sao Joao Dos Patos,MA,65665-000,R 7 De Setembro S/N,Centro,99,3553580
240,São Luis São Cristóvão,Sao Luis,MA,65055-285,Av Guajajaras,Jardim São Cristóvão,98,32597117
224,Timon,Timon,MA,65631-240,Av Francisco Carlos Jansen,Parque Piauí,86,32120241
277,Tutoia,Tutoia,MA,65580-000,R Celson Fonseca,Centro,98,34791314
296,Viana,Viana,MA,65215-000,Av Luis De Almeida Couto,Centro,98,33519100
147,Ze Doca,Ze Doca,MA,65365-000,"Av Do Comercio, 125",Centro,98,36553261
357,Aimores,Aimores,MG,35200-000,Praça João Pinheiro,Centro,33,32676100
217,Almenara,Almenara,MG,39900-000,Praça Dr Hélio Rocha Guimarães,Centro,33,37219600
334,Aracuai,Aracuai,MG,39600-006,Rua Tulio Hostílio,Centro,33,37319800
254,Arinos,Arinos,MG,38680-000,Av Aristoteles Fernandes Valadares,Centro,38,36353100
131,Belo Horizonte,Belo Horizonte,MG,30140-120,"Rua Dos Inconfidentes, 1051",Savassi,31,32636400
333,Bocaiúva,Bocaiuva,MG,39390-000,Praca Pedro Caldeira,Centro,38,32519100
70,Brasilia De Minas,Brasilia De Minas,MG,39330-000,"Av. Rui Barbosa,",Centro,38,32313900
197,Capelinha,Capelinha,MG,39680-008,Rua Rio Branco,Centro,33,35166100
255,Diamantina,Diamantina,MG,39100-000,Rua Do Carmo,Centro,38,35326100
